"Run","Run ID","metric","step","timestamp","value"
"bert_seed_0_constraints_c-freq-inc_10_c-lr-decay-param_1.0_c-lr_0.05","310de13bad384cc4b2c0f03e51b24671","train_f1","1","1766294517401","0.17734696298261254"
"bert_seed_0_constraints_c-freq-inc_10_c-lr-decay-param_1.0_c-lr_0.05","310de13bad384cc4b2c0f03e51b24671","train_f1","2","1766294517518","0.4283365367982916"
"bert_seed_0_constraints_c-freq-inc_10_c-lr-decay-param_1.0_c-lr_0.05","310de13bad384cc4b2c0f03e51b24671","train_f1","3","1766294517604","0.5721585524852623"
"bert_seed_0_constraints_c-freq-inc_10_c-lr-decay-param_1.0_c-lr_0.05","310de13bad384cc4b2c0f03e51b24671","train_f1","4","1766294517695","0.6670481160069054"
"bert_seed_0_constraints_c-freq-inc_10_c-lr-decay-param_1.0_c-lr_0.05","310de13bad384cc4b2c0f03e51b24671","train_f1","5","1766294517785","0.6984091281808081"
"bert_seed_0_constraints_c-freq-inc_10_c-lr-decay-param_1.0_c-lr_0.05","310de13bad384cc4b2c0f03e51b24671","train_f1","6","1766294517872","0.7241955693386428"
"bert_seed_0_constraints_c-freq-inc_10_c-lr-decay-param_1.0_c-lr_0.05","310de13bad384cc4b2c0f03e51b24671","train_f1","7","1766294517957","0.7579773789709555"
