"Run","Run ID","metric","step","timestamp","value"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_f1","1","1766435091205","0.18292562961512382"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_f1","2","1766435091301","0.40420166657165857"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_f1","3","1766435091389","0.5898293176750763"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_f1","4","1766435091481","0.6978541753485472"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_f1","5","1766435091582","0.7721125348455012"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_f1","6","1766435091680","0.8263470154118798"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_f1","7","1766435091773","0.8432489918193745"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_f1","8","1766435091870","0.8635075530686601"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_f1","9","1766435091959","0.8850623701893551"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_f1","10","1766435092048","0.9109994613760138"
