"Run","Run ID","metric","step","timestamp","value"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_loss","1","1766435091155","1.7616446018218994"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_loss","2","1766435091257","1.4123457670211792"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_loss","3","1766435091346","0.842567503452301"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_loss","4","1766435091438","0.5495957732200623"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_loss","5","1766435091526","0.3781706988811493"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_loss","6","1766435091633","0.29245060682296753"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_loss","7","1766435091726","0.24877342581748962"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_loss","8","1766435091821","0.2101089060306549"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_loss","9","1766435091915","0.17600537836551666"
"bert_seed_2_2025-22-12_15:34:41","aa64982026394a5e89558ca541a62bf3","train_loss","10","1766435092003","0.1406693458557129"
